site_name,site_id,ccamlr region,longitude_EPSG4326,latitude_EPSG4326,common_name,day,month,year,season_starting,count,accuracy,count_type,vantage,reference,notes
Noville Peninsula,NOVI,88.3,-98.45,-71.77,emperor penguin,17,11,2009,2009,3568,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,Unknown,Unknown,1981,1981,3020,1,nests,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,adelie penguin,Unknown,Unknown,1984,1984,29182,1,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,Unknown,Unknown,1984,1984,3119,1,adults,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,Unknown,Unknown,1987,1987,2300,1,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Point Geologie,PGEO,58.4.1,140.01,-66.67,adelie penguin,Unknown,Unknown,1998,1998,42161,1,nests,ground,"<strong>Micol, T. and P. Jouventin, </strong><i> 2001</i>. Long-term population trends in seven Antarctic seabirds at Pointe G&#233;ologie (Terre Ad&#233;lie) Human impact compared with environmental change. Polar Biology 24:175-185.","Estimated accuracy; this includes the 'Core Area' as well as all other islands in original source except for Fram, Ifo, Helene, and Rocher Gris, which are included as separate locations."
Point Geologie,PGEO,58.4.1,140.01,-66.67,emperor penguin,1,10,2009,2009,2456,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Peterson Bank,PSON,58.4.1,110.23,-65.92,emperor penguin,24,10,2009,2009,0,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Ragnhild,RAGN,48.6,27.15,-69.9,emperor penguin,10,10,2009,2009,6870,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Riiser,RIIS,48.6,-15.11,-72.12,emperor penguin,Unknown,Unknown,1986,1986,5900,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Riiser,RIIS,48.6,-15.11,-72.12,emperor penguin,27,10,2009,2009,4013,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.","See original source for more details on methodology and survey precision. From e-mail from Peter Fretwell: The Riiser colony is 'probably' the same one documented in Woehler's synopsis as Riiser-Larsen Ice shelf. The previous coordinates were from Hempel & Stonehouse's 1987 Polar Stern survey and those old coordinates are particularly coarse. The  17W, 72E location is actually 47 km offshore and probably represents the general location, or the location of the ice shelf itself.  Most of the coordinates from this survey were very coarse, for instance the location of the Halley colony simply cites the Brunt Ice shelf CGA location. However the original Riiser Larsen coordinate is still a long way from our own location on the Riisser Larsen ice shelf, it could be that the colony was further west previously, but it is impossible to say. It is likely that it is the same colony as no colony exists nearer the original point."
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,1964,1964,11700,3,chicks,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,1983,1983,3851,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2007,2007,10414,2,chicks,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2007,2007,4339,1,adults,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
Cape Roget,ROGE,88.1,170.59,-71.99,emperor penguin,Unknown,Unknown,2008,2008,10088,2,chicks,ground,"<strong>Kooyman, G.L. and P.J. Ponganis, </strong><i> 2016</i>. Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012. Antarctic Science 29:201-208.",See original source for more details on methodology and survey precision.
